Date,Close
7/13/2007,51.1
7/20/2007,47.84
7/27/2007,45.9
8/3/2007,45.15
8/10/2007,47.1
8/17/2007,46.28
8/24/2007,46.72
8/31/2007,46.5
9/7/2007,45.19
9/14/2007,45.34
9/21/2007,46.45
9/28/2007,46.41
10/5/2007,45.41
10/12/2007,45.26
10/19/2007,41.72
10/26/2007,41.7
11/2/2007,41.73
11/9/2007,41.04
11/16/2007,39.92
11/23/2007,38.89
11/30/2007,39.91
12/7/2007,40.3
12/14/2007,38.45
12/21/2007,39.43
12/28/2007,39.47
1/4/2008,38.55
1/11/2008,37.46
1/18/2008,36.74
1/25/2008,34.04
2/1/2008,36
2/8/2008,34.42
2/15/2008,35.99
2/22/2008,36.84
2/29/2008,37.08
3/7/2008,35.05
3/14/2008,36.46
3/20/2008,37.98
3/28/2008,37.79
4/4/2008,39.03
4/11/2008,35.89
4/18/2008,35.53
4/25/2008,34.74
5/2/2008,38.17
5/9/2008,36.99
5/16/2008,37.47
5/23/2008,36.51
5/30/2008,39.19
6/6/2008,37.46
6/13/2008,38.33
6/20/2008,33.75
6/27/2008,32.48
7/3/2008,32.87
7/11/2008,33.51
7/18/2008,35
7/25/2008,36.33
8/1/2008,36.45
8/8/2008,40.58
8/15/2008,41.62
8/22/2008,37.44
8/29/2008,36.09
9/5/2008,37.72
9/12/2008,41.09
9/19/2008,40.7
9/26/2008,41.06
10/3/2008,38.96
10/10/2008,34.5
10/17/2008,35.2
10/24/2008,33.59
10/31/2008,37.24
11/7/2008,36.51
11/14/2008,35.96
11/21/2008,34.69
11/28/2008,36
12/5/2008,34.63
12/12/2008,35.66
12/19/2008,35.06
12/26/2008,34.89
1/2/2009,35.81
1/9/2009,34.42
1/16/2009,35.03
1/23/2009,34.94
1/30/2009,37.28
2/6/2009,37.48
2/13/2009,36.87
2/20/2009,34.64
2/27/2009,33.69
3/6/2009,31.99
3/13/2009,33.21
3/20/2009,34.93
3/27/2009,34.95
4/3/2009,36.14
4/9/2009,36.58
4/17/2009,35.84
4/24/2009,36.18
5/1/2009,35.71
5/8/2009,35.22
5/15/2009,35.28
5/22/2009,34.88
5/29/2009,35.22
6/5/2009,34.87
6/12/2009,35.39
6/19/2009,34.77
6/26/2009,35.99
7/2/2009,36.48
7/10/2009,36.68
7/17/2009,38.17
7/24/2009,40.97
7/31/2009,39.95
8/7/2009,39.14
8/14/2009,38.94
8/21/2009,39.66
8/28/2009,38.95
9/4/2009,38.63
9/11/2009,40.24
9/18/2009,39.61
9/25/2009,39
10/2/2009,39.54
10/9/2009,39.9
10/16/2009,39.63
10/23/2009,38.06
10/30/2009,37.79
11/6/2009,37.62
11/13/2009,38.22
11/20/2009,37.18
11/27/2009,35.6
12/4/2009,35.99
12/11/2009,36.02
12/18/2009,35.29
12/24/2009,36.48
12/31/2009,35.79
1/8/2010,36.38
1/15/2010,36.25
1/22/2010,36.28
1/29/2010,36.43
2/5/2010,37.35
2/12/2010,37.6
2/19/2010,39.97
2/26/2010,39.76
3/5/2010,41.45
3/12/2010,42.65
3/19/2010,42.44
3/26/2010,42.49
4/1/2010,43.06
4/9/2010,44.12
4/16/2010,43.87
4/23/2010,48.72
4/30/2010,47.01
5/7/2010,46.42
5/14/2010,47.22
5/21/2010,46.56
5/28/2010,46.8
6/4/2010,48.29
6/11/2010,50.77
6/18/2010,50.22
6/25/2010,48.38
7/2/2010,48.21
7/9/2010,50.72
7/16/2010,50.81
7/23/2010,47.21
7/30/2010,47
8/6/2010,46.18
8/13/2010,46.35
8/20/2010,47.74
8/27/2010,47.09
9/3/2010,47.14
9/10/2010,45.94
9/17/2010,47.37
9/24/2010,48.12
10/1/2010,47.79
10/8/2010,48.75
10/15/2010,51.62
10/22/2010,49.91
10/29/2010,49.49
11/5/2010,48.49
11/12/2010,47.55
11/19/2010,46.52
11/26/2010,47.22
12/3/2010,46.75
12/10/2010,47.4
12/17/2010,48.3
12/23/2010,47.97
12/31/2010,47.15
1/7/2011,48.14
1/14/2011,49.55
1/21/2011,49.39
1/28/2011,47.04
2/4/2011,50.49
2/11/2011,50.01
2/18/2011,50.33
2/25/2011,51.95
3/4/2011,52.94
3/11/2011,53.73
3/18/2011,53.87
3/25/2011,54.36
4/1/2011,54.3
4/8/2011,55.71
4/15/2011,57.3
4/21/2011,56.75
4/29/2011,57.71
5/6/2011,56.06
5/13/2011,57.34
5/20/2011,56.14
5/27/2011,55.02
6/3/2011,54.51
6/10/2011,53.92
